internal_name,french_name,spanish_name,english_name
"auto_watering","Arroseurs automatiques","Regaderas automáticas","Automatic Sprinklers"
"dismantling","Démantèlement","Desmantelamiento","Dismantling"
"door_sensor","Détecteurs de pistons défectueux","Detectores de pistones defectuosos","Defective piston sensors"
"equipment_sensor","Détecteur d'anomalies","Detector de fallos","Anomaly Detector"
"fire_sensor","Détecteur d'incendies","Detectores de incendios","Fire Detector"
"heat_lamp","Lampes à chaleur","Lámparas de calor","Heat Lamps"
"parasite_elim","Nano-coccinelles","Nano-Escarabajos","Nano-Ladybugs"
"pilgred","PILGRED","PILGRED","PILGRED"
"plasma_shield","Bouclier plasma","Escudo plasma","Plasma Shield"
"trail_reducer","Réducteur de trainée","Reductor de estela","Trail Minimizer"
"chipset_acceleration","Accélération du processeur","Aceleración del procesador","CPU Overclocking"
"extra_hydroponpots","Hydropots supplémentaires","Hidromacetas adicionales","Extra Hydropots"
"auxiliary_terminal","Terminaux auxiliaires","Terminales auxiliares","Auxiliary Terminals"
"thalasso","Thalasso","Baño turco","Thalasso"
"bric_broc","Rafistolage Général","Arreglos generales","General Patching Up"
"magnetic_net","Filet magnétique","Red magnética","Magnetic Net"
"icarus_antigrav_propeller","Propulseurs antigrav","Propulsores antigravedad","Antigravity Thrusters"
"fission_coffee_roaster","Torréfacteur à fission","Torrefactora a fisión","Fission Coffee Roaster"
"armour_corridor","Coursives blindées","Paredes blindadas","Armored Corridors"
"call_of_dirty","Dynarcade","Dynarcade","Call of Dirty"
"extra_drone","Drone supplémentaire","Dron adicional","Extra Drone"
"patrolship_blaster_gun","Canon blaster","Cañón Blaster","Blaster Gun"
"bay_door_xxl","Portail de décollage extra-large","Portal de despegue extra largo","XXL Bay Door"
"trash_load","Tas de débris","Montón de chatarra","Scrapheap"
"food_retailer","Distributeur pneumatique","Tubo distribuidor","Pneumatic Distributor"
"auto_return_icarus","Rapatriement magnétique","Retorno automático","Magnetic Return"
"radar_trans_void","Radar à ondes spatiales","Radar de ondas espaciales","Spatial Wave Radar"
"neron_targeting_assist","Visée heuristique","Puntería heurística","Targeting Assist"
"whos_who","Protocole ACTOPI","Protocolo ACTOPI","ACTOPI Protocol"
"hydroponic_incubator","Couveuse hydroponique","Incubadora hidropónica","Hydroponic Incubator"
"icarus_lavatory","Lavabo opportun","Lavabo oportuno","Convenient Sink"
"icarus_larger_bay","Agrandissement de la cale","Aumento de espacio","Large Bay Upgrade"
"patrol_ship_launcher","Propulseur de décollage","Propulsor de despegue","Launch Propulsion System"
"neron_project_thread","Participation de NERON","Participación de NERON","NERON Participation"
"turret_extra_fire_rate","Pulsateur inversé","Interruptor invertido","Rerouted Charges"
"quantum_sensors","Détecteur à ondes de probabilité","Detector de ondas de probabilidad","Quantum Sensors"
"patrolship_extra_ammo","Réservoir de Teslatron","Tanque de Teslatron","Teslatron Reservoir"
"noise_reducer","Isolateur phonique","Aislamiento sonoro","Noise Reducer"
"apero_kitchen","Cuisine SNC","Cocina SNC","SNC Kitchen"
"floor_heating","Chauffage au sol","Calefacción en el suelo","Underfloor Heating"
"oxy_more","Conduites oxygénées","Conductos oxigenados","Oxygenated Ducts"
"beat_box","Jukebox","Rockola","Jukebox"
"anabolics","Anabolisant","Anabólicos","Anabolics"
"antispore_gas","Gaz antispore","Gas antiespora","Antispore Gas"
"constipaspore_serum","Sérum de constipaspore","Emulsión de Nomaspora","Constipaspore serum"
"create_mycoscan","Création du Mycoscan","Creación del Mycoscan","Create Mycoscan"
"meridon_scrambler","Brouilleur Meridon","Bloqueador Meridon","Meridon Scrambler"
"mush_hunter_zc16h","Le Mush-Hunter : ZC16H","El Mush-Hunter : ZC16H","Mush-Hunter : ZC16H"
"mushicide_soap","Savon mushicide","Jabón Mushicida","Mushicide Soap"
"mush_language","Langage Mush","Lenguaje Mush","Mush Language"
"mushovore_bacteria","Bactérie mushovore","Bacteria Mushívora","Mushovore Bacteria"
"mush_races","Races Mush","Razas Mush","Mush Races"
"mush_reproductive_system","Système de reproduction Mush","Sistema de reproducción Mush","Mush Reproductive System"
"mycoalarm","Myco-Alarmes","MycoAlarma","MycoAlarm"
"narcotics_distiller","Distillateur de stupéfiant","Destilador de fármacos","Narcotics Distiller"
"natamy_rifle","Fusil Natamy","Fusil Natamy","Natamy Rifle"
"ncc_contact_lenses","Lentille NCC","Lentillas NCC","NCC Contact Lenses"
"patuline_scrambler","Brouilleur à patuline","Emisor de interferencias","Patuline Scrambler"
"perpetual_hydration","Hydratation perpétuelle","Hidratación perpetua","Perpetual Hydration"
"pheromodem","Pheromodem","Feromódem","Pheromodem"
"retro_fungal_serum","Sérum rétro-fongique","Antídoto Retrofúngico","Retro-Fungal Serum"
"spore_sucker","Extracteur de spores","Extractor de Esporas","Spore Sucker"
"super_calculator","Supercalculateur","Super calculadora","Super Calculator"
"tesla_sup2x","Tesla SUP2X","Tesla SUP2X","Tesla SUP2X"
"ultra_healing_pomade","Pommade ultra-cicatrisante","Pomada ultra-cicatrizante","Ultra-Healing Pomade"
"guarana_cappuccino","Cappuccino au guarana","Capuchino de guaraná","Guarana Cappuccino"
"zeta_waves","Émetteur d'ondes zêta","Transmisor de ondas Zeta","Zeta waves transmitter"
